plantid,name,KWK,ersetzt?,Ersatz,Weiterbetrieb,Sonderfall,
00-50-56050192711,Wedel,Ja,Ja,800x2,,Ja,
06-05-100-0888309,HKW Sachtleben,Ja,Ja,800x1,,,
 06-05-900-0884101,KW Lünen,Ja,Ja,800x2,,,
06-05-300-9046796,G Kraftwerk,Ja,Ja,800x1,,,
06-10-0075248,Ensdorf,Ja,Ja,800x2,,,
06-08-2142201,Walheim,Nein,Nein,,,,
06-05-300-0877384,Weisweiler,Ja,Ja,800x2,,,
06-05-300-0326774,Niederaußem,Ja,Ja,800x2,Ja,Ja,
06-08-1020129,HKW Heilbronn,Ja,Ja,9000x1,,,
06-05-500-0875741,Kraftwerk IV,Ja,Nein,,Ja,Ja,
06-05-100-0081105,Frimmersdorf,Teil,Ja,800x2,,,
06-05-900-0327252,KW Herne,Ja,Ja,800x2,,,
06-05-500-0342658,Scholven,Teil,Ja,800x2,,Ja,
06-09-671-0140-0001,Heizkraftwerk Sappi,Ja,Ja,800x1,,,
06-04-11203966920,KW Farge,Nein,Nein,,,,
 06-11-01-1105602,Reuter,Ja,,,,Ja,
01-50-02000283604,GKW Kiel,Ja,,,,Ja,
06-05-100-0853075,KW West,Nein,Nein,,,,
06-05-100-9021016,Kraftwerk L/N,Ja,Ja,800x1,,,
06-05-100-0248923,Neurath,Ja,Ja,800x2,Ja,Ja,
03-09-09281566110,Wilhelmshaven,Nein,Nein,,,,
06-08-1383701,HKW Magirusstraße,Ja,Ja,800x1,,,
06-05-300-0079450,Kohlekraftwerk,Ja,Ja,800x1,,,
18037,Grubenheitzkraftwerk,Ja,Ja,800x1,,,
06-04-11_2001178_8_0,KW Hastedt/Hafen,Ja,Ja,800x2,,,
14-70-46630660001,Boxberg,Teil,Ja,800x2,Ja,Ja,
03-01-01010098080,KWM,Nein,Nein,,,,
06-09-500-0112-0001,HKW Erlangen,Ja,Ja,800x1,,,
06-05-900-0205103,Bergkamen,Ja,Ja,800x1,,,
12-40710010000,KW Jänschwalde,Ja,Ja,9000x2,,Ja,
06-11-01-1105501,KW Klingenberg,Ja,Ja,,,Ja,
06-05-100-0431554,KW Voerde,Nein,Nein,,,,
06-05-300-0890760,Kessel 4,Ja,Ja,800x1,,,
06-08-1195689,HKW Stuttgart-Münster,Ja,Ja,800x1,,,
06-08-2948214,GKM,Ja,Ja,9000x1,,Ja,
06-05-900-0045033,Kraftwerk Werdohl,Nein,Nein,,,,
06-10-00100999,Kraftwerk Bexbach,Nein,Nein,,,,Saar
06-05-900-0865327,Gersteinwerk,Nein,Nein,,,,
03-01-01010157480,HKW Mitte,Ja,Ja,800x1,,,
06-05-500-0338944,Ibbenbüren,Ja,Ja,800x1,,,
06-08-2797933,RDK,Ja,Nein,,Ja,Ja,
03-01-01241117210,HKW West,Ja,Ja,800x2,,,
06-08-1741292,HKW Altbach/Deizau,Ja,Ja,800x2,Ja,,
06-05-100-0031758,HKW 1,Ja,Ja,800x1,,,
06-08-4124448,,Ja,Ja,800x1,,,
06-09-100-0003-0003,Zolling,Ja,Ja,800x2,,,
06-05-700-0105516,Heyden,Nein,Nein,,,,
06-11-01-1105609,Reuter West,Ja,Ja,800x2,,,
06-05-100-0365906,KW Walsum,Ja,Ja,800x2,Ja,,
14-60-48821410003,HWK Chemnitz Nord,Ja,Ja,800x2,,,
06-14600010611,FKK,Ja,Ja,800x1,,,
06-10-0020157,HKW Römerbrücke,Ja,Nein,,Ja,,
06-00464010412,HKW West Hessen,Ja,Ja,800x1,,,
03-06-06060316030,GKH,Ja,Ja,800x2,,,
06-05-100-0030723,HKW Elberfeld,Ja,Ja,800x1,,,
06-11-01-1105604,Moabit,Ja,Ja,,,Ja,
 06-08-3042693,HKW Pforzheim,Ja,Ja,800x1,,,
06-09-100-0088-0001,Nord 2,Ja,Ja,800x2,,,
06-05-800-0197010,Ville_Berrenrath,Ja,Ja,800x1,,,
06-00176010435,Staudinger,Ja,Ja,800x2,,,
06-02-B10132A001,Tiefstack,Ja,Ja,,,Ja,Hamburg
06-05-800-0203946,Goldenberg,Ja,Ja,800x1,,,
16873,EZ 1,Ja,Ja,800x1,,,
13-30-1010101,Rostock,Ja,Ja,800x1,,,
18040,Wählitz,Ja,Ja,800x1,,,
12358,Schkopau,Ja,Ja,800x2,Ja,Ja,
07-05-8030815,HKW Karcherstr.,Ja,Ja,800x1,,,
12-40716440000,Schwarze Pumpe,Ja,Ja,9000x1,,Ja,
12-30532000000,HKW FFO,Ja,Ja,800x1,,,
14-80-00009560000,Lippendorf,Ja,Ja,800x2,Ja,Ja,
